IDPERSON,SEXO,INDINOM,ANONAC,ANOMUE,EDAD,EDADREC,IDNIVEDU,CONDALFA,ESTACIV,RELIGION,IDIOMA,OCUPACI0,ORGANIZA,OCUPACIO,SITUACIO,AGENTE,AGENTERC,UBIGEONA,DEPNAC,DEPNA0,UBIGEO,DEPHEC,DEPHE0,PROVHEC,DISTHEC,AREA,REGION,PERIODO,TESTIMON,CEDAP,CVR,COMISEDH,CNDDHH,CICR,DEFPUEB,DP_ONG
0000061598,1,2,#NULL!,1986,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,7,4,,,#NULL!,0511080027,05,1,0511,051108,0,1,3,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061606,2,2,#NULL!,1986,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,,,#NULL!,0511010014,05,1,0511,051101,0,1,3,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061609,2,1,1964,1984,20,3,3,2,2,1,2,1,#NULL!,1,1,7,4,0511070000,05,1,0504070001,05,1,0504,050407,0,1,2,1,0,1,0,0,0,0,0
0000061614,2,1,1958,1983,25,3,4,2,2,1,2,2,#NULL!,2,2,1,1,0510100000,05,1,0510100000,05,1,0510,051010,0,1,2,3,0,1,0,0,0,0,0
0000061619,#NULL!,3,#NULL!,1984,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,0511040026,05,1,0511,051104,0,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061624,1,1,#NULL!,1982,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,0504070000,05,1,0504,050407,0,1,1,1,0,1,0,0,0,0,0
0000061627,2,2,#NULL!,1982,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,0504070000,05,1,0504,050407,0,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061628,2,2,#NULL!,1982,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,0504070040,05,1,0504,050407,0,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061632,2,1,1969,1992,23,3,4,2,2,1,2,1,#NULL!,1,2,3,2,1005040001,10,5,1006040017,10,5,1006,100604,1,2,4,1,0,1,0,0,0,0,0
0000061638,2,1,1951,1988,37,4,4,2,2,1,1,10,#NULL!,10,1,3,2,1103010000,11,90,1101010000,11,90,1101,110101,1,#NULL!,3,1,0,1,0,0,0,0,0
0000061641,2,1,1972,1993,21,3,4,2,1,1,1,1,#NULL!,1,2,3,2,0609030000,06,90,2202010004,22,7,2202,220201,0,2,5,1,0,1,0,0,0,0,0
0000061651,2,1,1959,1994,35,4,3,2,2,1,2,1,#NULL!,1,1,3,2,1002080007,10,5,1006020004,10,5,1006,100602,0,2,5,1,0,1,0,0,0,0,0
0000061659,2,1,1929,1984,55,6,1,2,2,1,1,1,#NULL!,1,1,3,2,1102010000,11,90,0510060020,05,1,0510,051006,0,1,2,1,0,1,0,0,0,0,0
0000061662,2,1,1940,1998,58,6,3,2,2,#NULL!,2,1,#NULL!,1,1,3,2,1008020001,10,5,0500000000,05,1,0500,050000,0,1,5,1,0,1,0,0,0,0,0
0000061664,2,1,#NULL!,1992,#NULL!,#NULL!,3,2,2,1,2,1,#NULL!,1,2,3,2,1001090000,10,5,2503010016,25,6,2503,250301,0,2,4,1,0,1,0,0,0,0,0
0000061665,2,1,1952,1991,39,4,5,2,1,1,1,11,#NULL!,11,1,1,1,1105040000,11,90,1105040000,11,90,1105,110504,0,#NULL!,4,1,0,1,0,0,0,0,0
0000061666,2,1,1934,1984,50,6,1,2,2,1,2,1,#NULL!,1,1,3,2,0510060020,05,1,0510060020,05,1,0510,051006,0,1,2,1,0,1,0,0,0,0,0
0000061671,2,1,1962,1984,22,3,3,2,2,1,2,1,#NULL!,1,2,1,1,1010050029,10,5,1010050029,10,5,1010,101005,0,2,2,1,0,1,0,1,0,1,1
0000061673,1,2,1929,1984,55,6,1,1,2,1,2,4,#NULL!,4,1,3,2,0510060020,05,1,0510060020,05,1,0510,051006,0,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061678,2,1,1967,1989,22,3,5,2,1,1,1,11,#NULL!,11,2,3,2,1501010001,15,10,1203030051,12,9,1203,120303,0,3,4,1,0,1,0,0,0,0,0
0000061682,2,2,#NULL!,1984,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,2,1,1,,,#NULL!,1010050029,10,5,1010,101005,0,2,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061687,2,3,#NULL!,1983,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,3,2,,,#NULL!,,,#NULL!,,,#NULL!,#NULL!,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061692,2,1,1958,1988,30,4,4,2,2,1,2,8,#NULL!,8,1,3,2,0303070000,03,2,0303070000,03,2,0303,030307,0,#NULL!,3,1,0,1,0,0,0,0,0
0000061695,2,2,#NULL!,1992,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,,,#NULL!,1101000000,11,90,1101,110100,0,#NULL!,4,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061698,2,1,1957,1993,36,4,5,2,2,1,1,8,#NULL!,8,1,7,4,2210010000,22,7,2210010000,22,7,2210,221001,1,2,5,1,0,1,0,0,0,0,0
0000061700,2,1,1944,1984,40,5,4,2,2,1,2,1,2,8,1,3,2,0501110001,05,1,0501110001,05,1,0501,050111,0,1,2,1,0,1,0,0,0,0,0
0000061701,2,1,1965,1987,22,3,4,2,2,1,1,8,#NULL!,8,1,3,2,1508050001,15,10,1504010010,15,10,1504,150401,0,#NULL!,3,1,0,1,0,0,0,0,0
0000061708,2,1,1957,1998,41,5,4,2,2,1,1,1,#NULL!,1,1,1,1,0606110000,06,90,2210030002,22,7,2210,221003,0,2,5,1,0,1,0,0,0,0,0
0000061734,2,1,#NULL!,1985,#NULL!,#NULL!,3,2,1,1,2,1,#NULL!,1,1,1,1,1005020000,10,5,1005020001,10,5,1005,100502,0,2,2,1,0,1,0,0,0,0,0
